county,state,smoking,foodenvironment,physicalinactivity,accesstoexercise,excessivedrinking,drivingalone,population,diabetesprevalence
Robertson,KY,21.26549669,4.7,28.2,2.979842244,13.10690752,85.35178777,2213,14.7
Harlan,KY,28.51153699,5.7,35.2,59.31757634,11.99876305,83.43500068,30839,17.7
Bell,KY,29.84704685,5.7,39.6,86.52190582,11.71250704,75.81901182,27852,19
Carroll,KY,23.56156128,6.2,30.8,72.38923319,14.43326564,80.39347194,10960,12.5
Clay,KY,29.25372158,6.2,34.3,98.95996319,12.56847533,76.94915254,20882,14.6
Magoffin,KY,24.55385028,6.3,31.6,5.887647191,12.67952067,80.50682261,14024,13
Breathitt,KY,27.25468163,6.3,31.5,57.29932267,12.01893093,79.34100418,13536,17.7
Christian,KY,22.61845477,6.3,28.7,58.72490028,15.5476195,78.212129,75258,10.2
Wolfe,KY,28.83809202,6.4,34.9,54.1264446,11.48796909,82.00321371,7486,13.2
Knox,KY,29.4065335,6.5,32.9,38.02339805,12.24982743,85.25436765,33091,15.3
McCreary,KY,30.75122051,6.5,35.2,100,11.83129221,84.12085416,18197,14.7
Lincoln,KY,22.88459428,6.7,31.5,38.30733166,13.2868443,79.95057484,25071,13.6
Grayson,KY,22.98225234,6.7,34.2,59.69470986,13.71634684,80.44568783,26344,14.8
Johnson,KY,25.02580571,6.7,31.7,70.61140606,12.33120583,83.63771344,23844,17.4
Leslie,KY,26.26705881,6.7,35.3,100,12.4974528,85.86915888,11429,15.2
Floyd,KY,26.25522197,6.8,35.8,47.25102025,12.35746772,88.46439859,43141,15.2
Lawrence,KY,22.2729197,6.8,33.6,55.02522068,12.79610077,82.16482165,15950,18.1
Morgan,KY,28.14625979,6.8,34.5,56.53953889,13.98555274,87.06995413,13621,14.9
Lee,KY,28.20143442,6.8,32.8,78.47090148,11.91623703,81.00890208,7486,16.1
Fulton,KY,24.57620995,6.8,29.5,82.54806987,11.78728469,77.05064993,6530,13.6
Owsley,KY,26.68488872,6.8,26.6,86.68769716,11.94890093,82.32445521,4673,13.4
Elliott,KY,26.91906874,6.9,34.3,41.77279674,12.33765762,81.25,7887,15.2
Wayne,KY,23.97251064,6.9,32.2,65.47830683,12.50280451,85.18998273,20611,15.1
Madison,KY,19.79148203,6.9,25.4,65.69540258,16.36853419,80.22361293,91384,11.9
Whitley,KY,25.25591931,6.9,35.9,76.3420041,12.87488952,81.57810499,36886,13.9
Taylor,KY,23.63619682,6.9,31.2,82.49428851,13.72647654,82.06042595,25641,14.1
Knott,KY,24.6708199,7,37.4,49.87764591,12.34512222,82.23770135,16794,16.7
Martin,KY,27.73467729,7,35.9,54.07997525,13.04231893,81.886388,13283,12.1
Estill,KY,25.4108624,7,33,63.32470011,12.927418,79.20445177,14556,13.9
Boyle,KY,20.52682835,7,28.1,72.33047271,14.73714517,80.35137151,30365,13.4
Boyd,KY,22.45396331,7,28.7,74.08865205,14.25548474,82.8480589,48623,16.4
Union,KY,23.6627998,7.1,32,61.83780902,14.30919863,78.66958151,14888,13.8
Pulaski,KY,23.33455419,7.1,30.2,72.33084376,12.99304998,85.24158367,64309,12.6
Perry,KY,25.46352741,7.1,32.3,73.75313458,13.11380042,83.86869871,30326,15.5
Mason,KY,23.13756848,7.1,26.8,74.99714122,13.59052224,82.66799261,17699,12.9
McCracken,KY,20.64562761,7.1,27.4,76.19309083,14.923955,86.81411566,66770,12.1
Montgomery,KY,23.77650836,7.2,31.6,67.84029586,14.2889226,81.66250446,27767,13.7
Jackson,KY,28.18385355,7.2,33.9,72.13576404,12.52961622,81.61467016,13723,16.5
Greenup,KY,19.37700991,7.2,31.9,73.6141967,13.68890821,86.31870601,36656,17
Lewis,KY,24.89539315,7.3,33.9,26.74116799,13.14230475,80.95238095,14024,16.3
Ohio,KY,22.64461585,7.3,34.9,39.51010821,14.43645464,82.43727599,24717,15.3
Pike,KY,22.32099806,7.3,34.6,43.35322343,12.31096329,82.83063821,68263,17.8
Hopkins,KY,19.36498626,7.3,30.2,53.11381074,13.49576207,89.48410575,46758,14.5
Hardin,KY,19.88689997,7.3,27.1,54.57586008,15.2819786,81.81638032,112153,12.7
Calloway,KY,21.05605936,7.3,19.5,76.41633729,15.16232855,77.11469217,38930,11
Rowan,KY,24.37889115,7.3,25.8,97.57853684,15.82536851,79.92579966,24885,10.7
Fayette,KY,18.80416854,7.3,21.4,99.13388302,19.82710214,78.68925546,323298,9.9
Laurel,KY,22.40182484,7.4,33.2,61.04266853,13.76649412,86.22070535,60559,14.8
Mercer,KY,20.20646572,7.4,31.1,61.67080775,14.00124335,83.84427708,21845,14.1
Grant,KY,23.15715837,7.4,29.6,62.12391534,15.09764102,80.26752489,25450,12.7
Adair,KY,23.26039116,7.4,36,70.36342196,14.54385961,84.50937859,19570,16.7
Simpson,KY,22.54281136,7.4,26.3,80.87378081,14.11413607,88.37209302,18503,13.7
Caldwell,KY,21.07778623,7.5,26.5,6.269254467,14.12042818,81.05566219,12568,14.1
Hart,KY,23.90466535,7.5,37,39.41974834,13.03595783,75.70391872,19189,12.6
Logan,KY,21.81206261,7.5,32.1,40.53288616,13.47588331,87.43874859,27213,10.8
Warren,KY,19.45606049,7.5,23.4,55.30617267,15.29737307,81.19292287,129744,10.7
Bourbon,KY,20.82037409,7.5,31.4,72.22416813,14.4919273,79.52159325,20440,14.2
Powell,KY,23.16693453,7.5,32.5,89.1223341,13.86800862,76.44656229,12551,15.5
Jefferson,KY,19.22277926,7.5,24,90.05702365,19.12723508,80.85308854,774250,12.3
Washington,KY,20.21487147,7.6,30.1,2.60305539,14.5106278,81.63414189,12116,14.1
Butler,KY,23.17757798,7.6,34.3,20.42553192,13.05240528,82.5328367,13055,15.1
Carter,KY,23.36464194,7.6,39.9,50.07936508,14.56158167,79.62469346,28181,15.3
Woodford,KY,18.86644183,7.6,23.9,70.68447011,15.38058875,82.01819171,26796,13.4
Henderson,KY,21.82038769,7.6,29,75.0745946,13.79728136,86.87144039,46373,15.6
Russell,KY,24.16974693,7.6,29.4,84.26985483,12.89202466,86.37765871,18021,13.9
Green,KY,21.3844526,7.7,31.9,0,13.66978156,81.351115,11080,13.6
Bath,KY,24.52840402,7.7,34.6,39.59106203,13.00588925,82.25098221,12633,15.1
Livingston,KY,20.53949496,7.7,32.2,43.64954302,13.88166849,85.76201491,9451,13
Meade,KY,24.09630523,7.7,26.6,50.62583036,16.04881368,86.79814196,28783,13
Fleming,KY,23.22086659,7.7,29.8,52.3975467,12.70416755,80.62234795,14625,15.4
Trigg,KY,20.42480649,7.7,29.6,64.66978171,13.24927677,84.03672965,14485,14.9
Barren,KY,23.3223442,7.7,32.6,66.57102886,13.94172861,80.28735954,44601,13.2
Franklin,KY,19.72242558,7.7,23.5,82.82235974,15.40225407,84.16874088,51423,13.9
Menifee,KY,23.96616356,7.7,31.3,84.23723438,13.17803856,85.0528026,6565,16.7
Cumberland,KY,21.84107135,7.8,33.3,11.46441074,12.71880205,82.6672276,6937,16.5
Nicholas,KY,23.70041432,7.8,31,13.53889278,13.25182013,76.63043478,7161,14.1
Casey,KY,25.15207036,7.8,28.9,26.33657161,12.65346275,80.24778761,16113,14.9
Clinton,KY,24.63472169,7.8,33.5,29.53660436,13.09307522,83.32005312,10249,13.7
Monroe,KY,24.19792486,7.8,32.8,46.01842561,13.05154414,82.07456979,10664,16.5
Muhlenberg,KY,21.44887587,7.8,32.7,52.06514493,13.1615601,89.09905872,31485,12
Daviess,KY,21.76616715,7.8,25.5,77.61649561,15.85062985,86.84264562,102223,12.4
Jessamine,KY,20.18378212,7.8,28,79.45292883,15.4841601,79.54006127,53509,11.9
Kenton,KY,19.5267175,7.8,21.3,93.78036564,17.77897446,82.1554989,168542,12.2
Campbell,KY,18.89853211,7.8,22.2,94.3389125,18.33645495,80.94409445,95288,10.8
Rockcastle,KY,24.17639973,7.9,35.5,31.12101313,13.12008923,85.57847245,17065,14
Graves,KY,21.64787487,7.9,32.3,47.1943105,13.65660325,87.03691647,37185,12
Ballard,KY,20.30045026,7.9,34.9,48.17553643,14.15894887,89.32416268,8193,13.5
Breckinridge,KY,22.49122473,7.9,27.1,54.82327135,14.19472497,75.38625466,20561,14.4
Edmonson,KY,21.30564592,7.9,24.9,65.29068333,13.3127713,80.49692172,12641,16.5
Scott,KY,18.14757632,7.9,23.5,73.31100418,16.79396086,82.88836787,56045,11.3
Crittenden,KY,21.69638892,8,27.7,2.651637144,13.93300691,77.91376912,9189,14
Owen,KY,21.17162238,8,33.8,15.42293146,14.75580334,77.41602067,10919,15.3
Webster,KY,23.19115282,8,33.8,28.87453197,14.10004891,82.28998385,13468,14.3
Harrison,KY,20.95351265,8,33.4,48.62570307,14.11525515,81.79945939,19025,14.9
Clark,KY,20.10711353,8,27.5,79.89779013,15.07500166,82.44060888,36376,12.7
Bracken,KY,22.64522268,8.1,31,23.45664468,15.26634528,82.10556845,8507,14.3
Marion,KY,21.38865399,8.1,30.9,48.17860747,14.62088847,80.54039665,19452,12.8
Metcalfe,KY,26.4157354,8.1,30.5,54.05485692,13.36094108,81.29682253,10253,16.1
Trimble,KY,21.17738454,8.1,33.7,62.12964014,15.49934251,82.10972701,8615,14.1
Nelson,KY,19.92387071,8.1,28.6,68.80079195,16.17769164,85.32220722,46470,12
Bullitt,KY,20.02247777,8.1,25.2,73.70793471,16.89620941,85.23477477,81641,16.1
Hancock,KY,20.40966996,8.2,30.4,9.363689434,15.0197343,89.09296411,8917,15.3
Hickman,KY,22.58306506,8.2,32.4,13.15789474,12.23004954,80.9699202,4677,14.7
Anderson,KY,19.03336884,8.2,31.9,81.16334438,15.48261993,86.43852979,22595,15.6
