plot,subplot,nitrogen,species,totalcover,percentcover,evenness,richness,density
3,3_9,0,Quercus rubra,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Viola,6,22.2222222,14.51752582,6,2.25
3,3_9,0,Rubus,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Uvularia perfoliata,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Uvularia puberula,2,7.4074074,14.51752582,6,2.25
3,3_9,0,Urtica dioica,16,59.2592593,14.51752582,6,2.25
3,3_5,0,Urtica dioica,13,32.0987654,15.90519287,6,0
3,3_5,0,Viola,4,9.8765432,15.90519287,6,0
3,3_5,0,Acer saccharum,1,2.4691358,15.90519287,6,0
3,3_5,0,Polystichum acrostichoides,21,51.8518519,15.90519287,6,0
3,3_5,0,Acer rubrum,0.5,1.2345679,15.90519287,6,0
3,3_5,0,Actaea racemosa,1,2.4691358,15.90519287,6,0
3,3_4,0,Urtica dioica,28,67.4698795,25.08704855,8,0.75
3,3_4,0,Viola,8,19.2771084,25.08704855,8,0.75
3,3_4,0,Actaea racemosa,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Smilax rotundifolia,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Quercus rubra,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Solidago,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Galium circaezans,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Carrax ssp.,0.5,1.2048193,25.08704855,8,0.75
3,3_9,0,Rubus,5,32.2580645,12.82069921,6,0.5
3,3_9,0,Urtica dioica,5,32.2580645,12.82069921,6,0.5
3,3_9,0,Viola,3,19.3548387,12.82069921,6,0.5
3,3_9,0,Stelleria pubera,1,6.4516129,12.82069921,6,0.5
3,3_9,0,Unknown 2,1,6.4516129,12.82069921,6,0.5
3,3_9,0,Acer rubrum,0.5,3.2258065,12.82069921,6,0.5
5,5_1,0,Viola,5,10.8695652,38.23569616,13,6.75
5,5_1,0,Rubus,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Mustard ssp. ,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Liriodendron tulipifera,4,8.6956522,38.23569616,13,6.75
5,5_1,0,Viburnum acerifolium,1,2.173913,38.23569616,13,6.75
5,5_1,0,Acer rubrum,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Polystichum acrostichoides,16,34.7826087,38.23569616,13,6.75
5,5_1,0,Smilax rotundifolia,1,2.173913,38.23569616,13,6.75
5,5_1,0,Prunus pensylvanica,5,10.8695652,38.23569616,13,6.75
5,5_1,0,Carrax ssp.,1,2.173913,38.23569616,13,6.75
5,5_1,0,Solidago,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Stelleria pubera,4,8.6956522,38.23569616,13,6.75
5,5_1,0,Unknown 4,1,2.173913,38.23569616,13,6.75
5,5_9,0,Polystichum acrostichoides,10,43.4782609,15.77467341,7,0
5,5_9,0,Prunus pensylvanica,3,13.0434783,15.77467341,7,0
5,5_9,0,Sassafras albidum,2,8.6956522,15.77467341,7,0
5,5_9,0,Viola,4,17.3913043,15.77467341,7,0
5,5_9,0,Acer rubrum,1,4.3478261,15.77467341,7,0
5,5_9,0,Stelleria pubera,2,8.6956522,15.77467341,7,0
5,5_9,0,Fraxinus americana,1,4.3478261,15.77467341,7,0
5,5_10,0,Prunus pensylvanica,23,31.292517,27.7240606,9,4.75
5,5_10,0,Liriodendron tulipifera,5,6.8027211,27.7240606,9,4.75
5,5_10,0,Fraxinus americana,2,2.7210884,27.7240606,9,4.75
